10.1021/acs.nanolett.8b02584
10.1021/acs.nanolett.8b02828
10.1021/acs.nanolett.8b03043
10.1021/acs.molpharmaceut.8b00811
10.1021/acs.molpharmaceut.8b00827
10.1021/acs.molpharmaceut.8b00853
10.1021/acs.molpharmaceut.8b00864
10.1021/acs.molpharmaceut.8b00873
10.1021/acs.molpharmaceut.8b01033
10.1021/acs.macromol.9b00035
10.1021/acs.macromol.8b01661
10.1021/acs.macromol.8b02295
10.1021/acs.macromol.8b02303
10.1021/acs.macromol.8b02641
10.1021/acs.langmuir.9b00441
10.1021/acs.langmuir.8b01158
10.1021/acs.langmuir.8b02642
10.1021/acs.langmuir.8b03433
10.1021/acs.langmuir.8b02826
10.1021/acs.langmuir.8b01043
10.1021/acs.langmuir.8b01311
10.1021/acs.langmuir.8b03456
10.1021/acs.langmuir.8b03472
10.1021/acs.langmuir.8b03482
10.1021/acs.langmuir.8b01081
10.1021/acs.langmuir.8b02796
10.1021/acs.langmuir.8b03294
10.1021/acs.langmuir.8b03383
10.1021/acs.langmuir.8b03603
10.1021/acs.langmuir.8b01203
10.1021/acs.langmuir.8b02707
10.1021/acs.langmuir.8b02825
10.1021/acs.langmuir.8b03041
10.1021/acs.langmuir.8b03132
10.1021/acs.jproteome.8b00845
10.1021/acs.jproteome.8b00875
10.1021/acs.jproteome.8b00345
10.1021/acs.jproteome.8b00351
10.1021/acs.jproteome.8b00514
10.1021/acs.jpclett.9b00407
10.1021/acs.jpclett.8b03859
10.1021/acs.jpclett.8b03846
10.1021/acs.jpclett.8b03777
10.1021/acs.jpclett.8b03814
10.1021/acs.jpclett.8b03806
10.1021/acs.jpclett.8b03397
10.1021/j100471a003
10.1021/j100471a004
10.1021/j100471a005
10.1021/j100471a006
10.1021/j100471a007
10.1021/acs.jpcc.8b09774
10.1021/acs.jpcc.8b07583
10.1021/acs.jpcc.8b10298
10.1021/acs.jpcc.8b10362
10.1021/acs.jpcc.8b10542
10.1021/acs.jpcc.8b10876
10.1021/acs.jpcc.8b09369
10.1021/acs.jpcc.8b09967
10.1021/acs.jpcc.8b10009
10.1021/acs.jpcc.8b10550
10.1021/acs.jpcc.8b11274
10.1021/acs.jpcc.8b05962
10.1021/acs.jpcc.8b06693
10.1021/acs.jpcc.8b07617
10.1021/acs.jpcc.8b09268
10.1021/acs.jpcc.8b10079
10.1021/acsabm.8b00515
10.1021/acsabm.8b00550
10.1021/acsabm.8b00577
10.1021/acsabm.8b00603
10.1021/acsabm.8b00666
10.1021/acsaelm.8b00014
10.1021/acsaelm.8b00042
10.1021/acsaelm.8b00065
10.1021/acsaelm.8b00075
10.1021/acsaem.8b01525
10.1021/acsaem.8b01771
10.1021/acsaem.8b01992
10.1021/acsaem.8b02229
10.1021/acsami.8b20794
10.1021/acsami.8b14877
10.1021/acsami.8b18107
10.1021/acsami.8b18739
10.1021/acsami.8b19234
10.1021/acs.orglett.8b04051
10.1021/acsami.8b02552
10.1021/acsami.8b02909
10.1021/acsami.8b05190
10.1021/acsami.8b06411
10.1021/acsami.8b20929
10.1021/acsami.8b20567
10.1021/acsami.8b18756
10.1021/acsami.8b20069
10.1021/acsami.8b21483
10.1021/acsami.8b21456
10.1021/acsami.8b22034
10.1021/acsami.8b18304
10.1021/acsami.8b19658
10.1021/acsami.9b00147
10.1021/acsami.9b00507
10.1021/acsami.8b19953
10.1021/acsami.8b20169
10.1021/acsami.8b20542
10.1021/acsami.8b21199
10.1021/acsanm.8b02201
10.1021/acsanm.8b02231
10.1021/acsanm.8b01595
10.1021/acsanm.8b01763
10.1021/acsanm.8b01873
10.1021/acsanm.8b01926
10.1021/acsapm.8b00177
10.1021/acsapm.8b00180
10.1021/acsapm.8b00030
10.1021/acsapm.8b00071
10.1021/acsapm.8b00100
10.1021/acsapm.8b00045
10.1021/acsbiomaterials.8b01089
10.1021/acsbiomaterials.8b01214
10.1021/acsbiomaterials.8b01282
10.1021/acsbiomaterials.8b01137
10.1021/acsbiomaterials.8b01087
10.1021/acschembio.8b00981
10.1021/acschembio.8b01022
10.1021/acschembio.8b01065
10.1021/acschembio.8b01097
10.1021/acschembio.8b00972
10.1021/acschembio.8b00807
10.1021/acscatal.8b04317
10.1021/acscatal.8b04676
10.1021/acscatal.8b04926
10.1021/acscatal.8b04565
10.1021/acscatal.8b03694
10.1021/acscatal.8b04272
10.1021/acscatal.8b04633
10.1021/acs.accounts.8b00586
10.1021/acs.accounts.8b00502
10.1021/acs.accounts.8b00454
10.1021/acs.accounts.8b00472
10.1021/acs.accounts.8b00550
10.1021/acs.accounts.8b00563
10.1021/acs.accounts.8b00569
10.1021/acschemneuro.8b00373
10.1021/acschemneuro.8b00388
10.1021/acschemneuro.8b00389
10.1021/acschemneuro.8b00402
10.1021/acschemneuro.8b00435
10.1021/acscombsci.8b00116
10.1021/acscombsci.8b00129
10.1021/acscombsci.8b00151
10.1021/acscentsci.8b00951
10.1021/acscentsci.8b00963
10.1021/acscentsci.8b00588
10.1021/acscentsci.8b00614
10.1021/acsomega.8b03309
10.1021/acsomega.8b03448
10.1021/acsomega.8b03497
10.1021/acsomega.8b02471
10.1021/acsenergylett.8b02488
10.1021/acsenergylett.8b02383
10.1021/acsenergylett.8b02433
10.1021/acsenergylett.8b02470
10.1021/acsearthspacechem.8b00124
10.1021/acsearthspacechem.8b00115
10.1021/acsearthspacechem.8b00099
10.1021/acsearthspacechem.8b00175
10.1021/acs.orglett.8b04030
10.1021/acs.orglett.8b04042
10.1021/acs.orglett.8b03274
10.1021/acsinfecdis.8b00167
10.1021/acsinfecdis.8b00197
10.1021/acsinfecdis.8b00205
10.1021/acsinfecdis.8b00213
10.1021/acsinfecdis.8b00238
10.1021/acsmedchemlett.8b00619
10.1021/acsmedchemlett.8b00654
10.1021/acsmedchemlett.9b00006
10.1021/acsmedchemlett.8b00473
10.1021/acsmacrolett.8b00884
10.1021/acsmacrolett.8b00923
10.1021/acsmacrolett.8b00630
10.1021/acsmacrolett.8b00932
10.1021/acsnano.8b09484
10.1021/acs.analchem.8b02319
10.1021/acs.analchem.8b04412
10.1021/acs.analchem.8b04177
10.1021/acs.analchem.8b04037
10.1021/acs.analchem.8b04393
10.1021/acs.analchem.8b04201
10.1021/acs.analchem.8b05532
10.1021/acs.analchem.9b00289
10.1021/acs.analchem.8b04781
10.1021/acsphotonics.8b01253
10.1021/acsphotonics.8b01341
10.1021/acsphotonics.8b01459
10.1021/acsphotonics.8b01502
10.1021/acsptsci.8b00036
10.1021/acsptsci.8b00047
10.1021/acsptsci.8b00060
10.1021/acssynbio.8b00369
10.1021/acssynbio.8b00449
10.1021/acssynbio.8b00483
10.1021/acssynbio.8b00510
10.1021/acssuschemeng.8b05427
10.1021/acssuschemeng.8b03520
10.1021/acssuschemeng.8b05463
10.1021/acssuschemeng.7b04330
10.1021/acssuschemeng.8b01075
10.1021/acssuschemeng.8b06277
10.1021/acssuschemeng.8b06210
10.1021/acssuschemeng.8b06445
10.1021/acssuschemeng.8b05751
10.1021/acssuschemeng.8b06030
10.1021/acssuschemeng.8b06508
10.1021/acssuschemeng.8b03818
10.1021/acssensors.8b00937
10.1021/acssensors.8b01466
10.1021/acssensors.8b00465
10.1021/acssensors.8b00776
10.1021/acssensors.8b00942
10.1021/acs.bioconjchem.8b00732
10.1021/acs.bioconjchem.8b00799
10.1021/acs.bioconjchem.8b00749
10.1021/acs.bioconjchem.8b00695
10.1021/acs.bioconjchem.8b00853
10.1021/acs.biomac.8b01656
10.1021/acs.chemrev.8b00290
10.1021/acs.chemrev.8b00458
10.1021/acs.chemrev.8b00506
10.1021/acs.chemrev.8b00554
10.1021/acs.chemrev.8b00774
10.1021/acs.chemrev.8b00068
10.1021/acs.chemrev.8b00507
10.1021/acs.chemrev.8b00306
10.1021/acs.chemrev.8b00555
10.1021/acs.chemrev.8b00392
10.1021/acs.chemmater.8b04380
10.1021/acs.chemmater.8b04595
10.1021/acs.chemmater.8b02878
10.1021/acs.chemmater.8b04198
10.1021/acs.chemmater.8b01447
10.1021/acs.chemrestox.8b00345
10.1021/acs.chemrestox.8b00265
10.1021/acs.chemrestox.8b00280
10.1021/acs.chemrestox.8b00313
10.1021/acs.chemrestox.8b00324
10.1021/acs.energyfuels.8b02725
10.1021/acs.energyfuels.8b02726
10.1021/acs.energyfuels.8b03268
10.1021/acs.energyfuels.8b03328
10.1021/acs.energyfuels.8b03376
10.1021/acs.energyfuels.8b03441
